Executable,Threads,Run,Time
spmv_collapse,1,8,
spmv_collapse,1,8,
spmv_collapse,1,9,
spmv_collapse,1,9,
spmv_collapse,1,10,
spmv_collapse,1,10,
spmv_collapse,1,11,
spmv_collapse,1,11,
spmv_collapse,1,12,
spmv_collapse,1,12,
spmv_collapse,2,1,
spmv_collapse,2,1,
spmv_collapse,2,2,
spmv_collapse,2,2,
spmv_collapse,2,3,
spmv_collapse,2,3,
spmv_collapse,2,4,
spmv_collapse,2,4,
spmv_collapse,2,5,
spmv_collapse,2,5,
spmv_collapse,2,6,
spmv_collapse,2,6,
spmv_collapse,2,7,
spmv_collapse,2,7,
spmv_collapse,2,8,
spmv_collapse,2,8,
spmv_collapse,2,9,
spmv_collapse,2,9,
spmv_collapse,2,10,
spmv_collapse,2,10,
spmv_collapse,2,11,
spmv_collapse,2,11,
spmv_collapse,2,12,
spmv_collapse,2,12,
spmv_collapse,4,1,
spmv_collapse,4,1,
spmv_collapse,4,2,
spmv_collapse,4,2,
spmv_collapse,4,3,
spmv_collapse,4,3,
spmv_collapse,4,4,
spmv_collapse,4,4,
spmv_collapse,4,5,
spmv_collapse,4,5,
spmv_collapse,4,6,
spmv_collapse,4,6,
spmv_collapse,4,7,
spmv_collapse,4,7,
spmv_collapse,4,8,
spmv_collapse,4,8,
spmv_collapse,4,9,
spmv_collapse,4,9,
spmv_collapse,4,10,
spmv_collapse,4,10,
spmv_collapse,4,11,
spmv_collapse,4,11,
spmv_collapse,4,12,
spmv_collapse,4,12,
spmv_collapse,8,1,
spmv_collapse,8,1,
spmv_collapse,8,2,
spmv_collapse,8,2,
spmv_collapse,8,3,
spmv_collapse,8,3,
spmv_collapse,8,4,
spmv_collapse,8,4,
spmv_collapse,8,5,
spmv_collapse,8,5,
spmv_collapse,8,6,
spmv_collapse,8,6,
spmv_collapse,8,7,
spmv_collapse,8,7,
spmv_collapse,8,8,
spmv_collapse,8,8,
spmv_collapse,8,9,
spmv_collapse,8,9,
spmv_collapse,8,10,
spmv_collapse,8,10,
spmv_collapse,8,11,
spmv_collapse,8,11,
spmv_collapse,8,12,
spmv_collapse,8,12,
spmv_collapse,16,1,
spmv_collapse,16,1,
spmv_collapse,16,2,
spmv_collapse,16,2,
spmv_collapse,16,3,
spmv_collapse,16,3,
spmv_collapse,16,4,
spmv_collapse,16,4,
spmv_collapse,16,5,
spmv_collapse,16,5,
spmv_collapse,16,6,
spmv_collapse,16,6,
spmv_collapse,16,7,
spmv_collapse,16,7,
spmv_collapse,16,8,
spmv_collapse,16,8,
spmv_collapse,16,9,
spmv_collapse,16,9,
spmv_collapse,16,10,
spmv_collapse,16,10,
spmv_collapse,16,11,
spmv_collapse,16,11,
spmv_collapse,16,12,
spmv_collapse,16,12,
spmv_guided,1,1,
spmv_guided,1,1,
spmv_guided,1,2,
spmv_guided,1,2,
spmv_guided,1,3,
spmv_guided,1,3,
spmv_guided,1,4,
spmv_guided,1,4,
spmv_guided,1,5,
spmv_guided,1,5,
spmv_guided,1,6,
spmv_guided,1,6,
spmv_guided,1,7,
spmv_guided,1,7,
spmv_guided,1,8,
spmv_guided,1,8,
spmv_guided,1,9,
spmv_guided,1,9,
spmv_guided,1,10,
spmv_guided,1,10,
spmv_guided,1,11,
spmv_guided,1,11,
spmv_guided,1,12,
spmv_guided,1,12,
spmv_guided,2,1,
spmv_guided,2,1,
spmv_guided,2,2,
spmv_guided,2,2,
spmv_guided,2,3,
spmv_guided,2,3,
spmv_guided,2,4,
spmv_guided,2,4,
spmv_guided,2,5,
spmv_guided,2,5,
spmv_guided,2,6,
spmv_guided,2,6,
spmv_guided,2,7,
spmv_guided,2,7,
spmv_guided,2,8,
spmv_guided,2,8,
spmv_guided,2,9,
spmv_guided,2,9,
spmv_guided,2,10,
spmv_guided,2,10,
spmv_guided,2,11,
spmv_guided,2,11,
spmv_guided,2,12,
spmv_guided,2,12,
spmv_guided,4,1,
spmv_guided,4,1,
spmv_guided,4,2,
spmv_guided,4,2,
spmv_guided,4,3,
