num_procs,distribution,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,1D,0,0.0009706808,0.0002217376,500000.0,0.0,1000000.0,0.0007489432
2,1D,0,0.0033776276,0.00023114149999999998,500000.0,10000.0,1000000.0,0.0031464861
2,1D,1,0.0033902282,0.00023515319999999998,500000.0,10000.0,1000000.0,0.003155075
2,2D,0,0.0036012554999999996,0.0004106303999999999,499946.0,5000.0,999892.0,0.0031906250999999995
2,2D,1,0.0037231917,0.00041111159999999996,499949.0,5000.0,999898.0,0.0033120801000000003
2,2D_cyclic,0,0.0034222308,0.00024784309999999996,499946.0,5000.0,999892.0,0.0031743877
2,2D_cyclic,1,0.0032754581,0.00024990509999999995,499961.0,5000.0,999922.0,0.003025553
4,1D,0,0.053635446999999996,0.0332526431,500000.0,30000.0,1000000.0,0.020382803899999996
4,1D,1,0.0501112169,0.032022832800000005,500000.0,29999.0,1000000.0,0.018088384099999993
4,1D,2,0.054371710999999996,0.03323038019999999,500000.0,30000.0,1000000.0,0.021141330800000004
4,1D,3,0.05366994319999999,0.03325696959999999,500000.0,30000.0,1000000.0,0.020412973600000002
4,2D,0,0.05146222639999999,0.032063636900000005,499976.0,15000.0,999952.0,0.019398589499999987
4,2D,1,0.050197863,0.032018687000000004,499976.0,15000.0,999952.0,0.018179176
4,2D,2,0.0500163257,0.0320422397,499978.0,15000.0,999956.0,0.017974086
4,2D,3,0.0499513605,0.032019270700000005,499981.0,15000.0,999962.0,0.017932089799999995
4,2D_cyclic,0,0.0499578462,0.032026653100000003,499970.0,15000.0,999940.0,0.0179311931
4,2D_cyclic,1,0.0504728088,0.0320237498,499982.0,15000.0,999964.0,0.018449058999999997
4,2D_cyclic,2,0.051457867399999996,0.0329577679,499976.0,15000.0,999952.0,0.0185000995
4,2D_cyclic,3,0.05134004699999999,0.033326676199999995,499978.0,15000.0,999956.0,0.018013370799999998
8,1D,0,0.1295945731,0.09605095720000001,500000.0,69858.0,1000000.0,0.03354361589999999
8,1D,1,0.1294721071,0.096011244,500000.0,69840.0,1000000.0,0.033460863100000016
8,1D,2,0.0976227402,0.0640292396,500000.0,69868.0,1000000.0,0.033593500600000006
8,1D,3,0.1295616677,0.0960457188,500000.0,69856.0,1000000.0,0.033515948899999995
8,1D,4,0.1295709612,0.0960109076,500000.0,69862.0,1000000.0,0.0335600536
8,1D,5,0.1300517956,0.0964449564,500000.0,69888.0,1000000.0,0.03360683919999999
8,1D,6,0.1294824801,0.09597528699999999,500000.0,69872.0,1000000.0,0.0335071931
8,1D,7,0.12957017340000002,0.09601539249999999,500000.0,69849.0,1000000.0,0.033554780900000025
8,2D,0,0.1292860579,0.0960136473,499974.0,17500.0,999948.0,0.033272410599999996
8,2D,1,0.125602613,0.092401034,499980.0,17500.0,999960.0,0.033201578999999995
8,2D,2,0.09998957539999999,0.06662362539999998,499979.0,17500.0,999958.0,0.033365950000000005
8,2D,3,0.1315886952,0.096025798,499982.0,17500.0,999964.0,0.0355628972
8,2D,4,0.1308652987,0.0959837207,499974.0,17500.0,999948.0,0.034881577999999996
8,2D,5,0.1465141831,0.0972335821,499978.0,17500.0,999956.0,0.04928060100000001
8,2D,6,0.11004155449999999,0.0760513865,499982.0,17500.0,999964.0,0.03399016799999999
8,2D,7,0.1292701694,0.0960162391,499973.0,17500.0,999946.0,0.0332539303
8,2D_cyclic,0,0.09735950780000001,0.0640177211,499970.0,17500.0,999940.0,0.033341786700000015
8,2D_cyclic,1,0.1324714572,0.096015269,499970.0,17500.0,999940.0,0.0364561882
8,2D_cyclic,2,0.1292588609,0.0960131663,499981.0,17500.0,999962.0,0.0332456946
8,2D_cyclic,3,0.129270788,0.09599985650000001,499974.0,17500.0,999948.0,0.03327093149999999
8,2D_cyclic,4,0.1156260632,0.0959978747,499972.0,17500.0,999944.0,0.019628188500000004
8,2D_cyclic,5,0.13006700229999998,0.0968080323,499967.0,17500.0,999934.0,0.033258969999999985
8,2D_cyclic,6,0.10057095729999999,0.06724611519999998,499980.0,17500.0,999960.0,0.0333248421
8,2D_cyclic,7,0.1314973358,0.09826976829999999,499974.0,17500.0,999948.0,0.03322756750000001
