num_procs,distribution,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,1D,0,1138_bus,5.209899999999999e-06,4.7199999999999986e-08,2596.0,0.0,5192.0,5.162699999999999e-06
1,1D,0,cond-mat-2005,0.0003606086,3.4139999999999997e-07,175693.0,0.0,351386.0,0.0003602672
1,1D,0,dixmaanl,0.0002684183,6.822e-07,179999.0,0.0,359998.0,0.0002677361
1,1D,0,flowmeter0,5.82334e-05,1.42e-07,38530.0,0.0,77060.0,5.80914e-05
2,1D,0,1138_bus,6.7737999999999986e-06,2.1686999999999984e-06,1333.0,300.0,2666.0,4.6051e-06
2,1D,0,cond-mat-2005,0.0007349308,2.7649099999999996e-05,88263.0,12310.0,176526.0,0.0007072817000000001
2,1D,0,dixmaanl,0.00017187569999999996,5.579179999999996e-05,89999.0,29999.0,179998.0,0.00011608389999999999
2,1D,0,flowmeter0,0.00011351849999999999,1.46661e-05,19271.0,4358.0,38542.0,9.885239999999998e-05
2,1D,1,1138_bus,5.653999999999999e-06,2.109699999999998e-06,1263.0,278.0,2526.0,3.5443000000000005e-06
2,1D,1,cond-mat-2005,0.0006585779,2.6372099999999998e-05,87430.0,12330.0,174860.0,0.0006322058
2,1D,1,dixmaanl,0.0002659628,5.426729999999996e-05,90000.0,30000.0,180000.0,0.00021169550000000006
2,1D,1,flowmeter0,0.0001277125,1.45322e-05,19259.0,4356.0,38518.0,0.00011318029999999999
2,2D,0,1138_bus,9.157799999999999e-06,3.0827999999999995e-06,1429.0,284.0,2858.0,6.0749999999999994e-06
2,2D,0,cond-mat-2005,0.0011204357,2.9984099999999996e-05,151319.0,8131.0,302638.0,0.0010904515999999999
2,2D,0,dixmaanl,0.00026480709999999997,4.1989e-05,110000.0,15000.0,220000.0,0.00022281809999999996
2,2D,0,flowmeter0,0.0001232937,1.3348799999999998e-05,19324.0,2417.0,38648.0,0.00010994490000000001
2,2D,1,1138_bus,9.7737e-06,3.2464999999999993e-06,1167.0,284.0,2334.0,6.5272e-06
2,2D,1,cond-mat-2005,0.0002582544,2.98528e-05,24374.0,4859.0,48748.0,0.0002284016
2,2D,1,dixmaanl,0.0001577393,4.44125e-05,69999.0,15000.0,139998.0,0.0001133268
2,2D,1,flowmeter0,9.98899e-05,1.1809299999999997e-05,19206.0,2417.0,38412.0,8.80806e-05
2,2D_cyclic,0,1138_bus,4.818799999999999e-06,2.7815999999999985e-06,1297.0,0.0,2594.0,2.0372e-06
2,2D_cyclic,0,cond-mat-2005,0.00030721009999999996,1.2036999999999998e-05,88229.0,0.0,176458.0,0.00029517309999999995
2,2D_cyclic,0,dixmaanl,0.000142891,4.470799999999998e-06,90000.0,0.0,180000.0,0.0001384202
2,2D_cyclic,0,flowmeter0,5.215229999999999e-05,3.3769999999999975e-06,19283.0,0.0,38566.0,4.8775299999999994e-05
2,2D_cyclic,1,1138_bus,4.873699999999998e-06,1.0464999999999977e-06,1299.0,0.0,2598.0,3.8272e-06
2,2D_cyclic,1,cond-mat-2005,0.0003069935,2.306999999999996e-06,87464.0,0.0,174928.0,0.0003046865
2,2D_cyclic,1,dixmaanl,0.00013114310000000002,1.7847999999999964e-06,89999.0,0.0,179998.0,0.00012935830000000004
