num_procs,distribution,rank,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,1D,0,0.0007633502,7.061999999999999e-07,500000.0,0.0,1000000.0,0.0007626439999999999
2,1D,0,0.0031228516,3.7613499999999995e-05,500000.0,10000.0,1000000.0,0.0030852381
2,1D,1,0.0035407362999999997,3.6518e-05,500000.0,10000.0,1000000.0,0.0035042182999999996
2,2D,0,0.0031659662,2.9644199999999996e-05,499945.0,5000.0,999890.0,0.003136322
2,2D,1,0.0031342456,2.8944e-05,499947.0,5000.0,999894.0,0.0031053016
2,2D_cyclic,0,0.0037511747999999998,5.6277699999999985e-05,499949.0,5000.0,999898.0,0.0036948971
2,2D_cyclic,1,0.0037112341,5.460129999999999e-05,499953.0,5000.0,999906.0,0.0036566327999999998
4,1D,0,0.0025722791,0.00011141319999999997,500000.0,30000.0,1000000.0,0.0024608659
4,1D,1,0.0027424037000000003,0.00010292039999999997,500000.0,29999.0,1000000.0,0.0026394833000000003
4,1D,2,0.0024801853,8.854769999999996e-05,500000.0,30000.0,1000000.0,0.0023916376
4,1D,3,0.0026114201999999998,0.00011004639999999998,500000.0,30000.0,1000000.0,0.0025013737999999997
4,2D,0,0.0023038838,4.6478e-05,499977.0,15000.0,999954.0,0.0022574058
4,2D,1,0.0028211751,5.34317e-05,499972.0,15000.0,999944.0,0.0027677434
4,2D,2,0.0023151401000000003,5.50391e-05,499974.0,15000.0,999948.0,0.0022601010000000005
4,2D,3,0.002888567,5.70969e-05,499978.0,15000.0,999956.0,0.0028314701
4,2D_cyclic,0,0.0024620489,0.00013127209999999997,499978.0,15000.0,999956.0,0.0023307768
4,2D_cyclic,1,0.0023694863,0.00011040569999999998,499980.0,15000.0,999960.0,0.0022590806000000003
4,2D_cyclic,2,0.002650179,0.0001330956,499981.0,15000.0,999962.0,0.0025170834
4,2D_cyclic,3,0.0024376397,0.00013047219999999998,499980.0,15000.0,999960.0,0.0023071675
8,1D,0,0.003504226,0.0007377927999999999,500000.0,69858.0,1000000.0,0.0027664332
8,1D,1,0.0031317836,0.0005743254999999998,500000.0,69840.0,1000000.0,0.0025574581000000003
8,1D,2,0.0028357703,0.0007108833999999999,500000.0,69868.0,1000000.0,0.0021248869
8,1D,3,0.0033359085,0.0007424681999999998,500000.0,69856.0,1000000.0,0.0025934403000000003
8,1D,4,0.0032171403,0.0006700762999999998,500000.0,69862.0,1000000.0,0.002547064
8,1D,5,0.0029734705,0.0007473760999999999,500000.0,69888.0,1000000.0,0.0022260943999999998
8,1D,6,0.0030300829,0.0007199276999999998,500000.0,69872.0,1000000.0,0.0023101552
8,1D,7,0.0026321196,0.0005997632999999999,500000.0,69849.0,1000000.0,0.0020323563
8,2D,0,0.0022763313,8.11239e-05,499972.0,17500.0,999944.0,0.0021952074
8,2D,1,0.002692899,9.400519999999999e-05,499971.0,17500.0,999942.0,0.0025988938
8,2D,2,0.0026725787999999995,9.83051e-05,499970.0,17500.0,999940.0,0.0025742736999999996
8,2D,3,0.0021674112000000002,9.21989e-05,499973.0,17500.0,999946.0,0.0020752123000000004
8,2D,4,0.002129784,9.701869999999999e-05,499976.0,17500.0,999952.0,0.0020327653
8,2D,5,0.0022368658,9.299550000000001e-05,499978.0,17500.0,999956.0,0.0021438703
8,2D,6,0.0020790469,7.90795e-05,499976.0,17500.0,999952.0,0.0019999674
8,2D,7,0.0022253854999999996,9.44136e-05,499968.0,17500.0,999936.0,0.0021309718999999996
8,2D_cyclic,0,0.0021295604,0.00011970159999999999,499975.0,17500.0,999950.0,0.0020098588
8,2D_cyclic,1,0.002254826,0.0001152622,499967.0,17500.0,999934.0,0.0021395638
8,2D_cyclic,2,0.0019760306000000004,0.00010001229999999998,499978.0,17500.0,999956.0,0.0018760183000000004
8,2D_cyclic,3,0.0021080809,0.0001241403,499980.0,17500.0,999960.0,0.0019839405999999998
8,2D_cyclic,4,0.0022066695,0.0001091771,499973.0,17500.0,999946.0,0.0020974924
8,2D_cyclic,5,0.002314202,0.0001300787,499973.0,17500.0,999946.0,0.0021841233
8,2D_cyclic,6,0.0020660426000000003,0.0001191185,499976.0,17500.0,999952.0,0.0019469241000000003
8,2D_cyclic,7,0.0020914367,0.0001126784,499973.0,17500.0,999946.0,0.0019787583000000003
