distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,4356,4357.0,4358,8714,1.0
1D,4,4295,4311.0,4329,17244,1.004
1D,8,2675,2696.12,2734,21569,1.014
2D,2,2417,2417.0,2417,4834,1.0
2D,4,0,1824.5,3626,7298,1.987
2D,8,0,1063.88,2116,8511,1.989
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,2189,2304.25,2417,9217,1.049
2D_cyclic,8,1072,1148.25,1209,9186,1.053
