distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,29999,29999.5,30000,59999,1.0
1D,4,14999,14999.75,15000,59999,1.0
1D,8,7499,7499.88,7500,59999,1.0
2D,2,15000,15000.0,15000,30000,1.0
2D,4,0,16875.0,22500,67500,1.333
2D,8,0,9843.75,13125,78750,1.333
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,14999,14999.75,15000,59999,1.0
2D_cyclic,8,7499,7499.88,7500,59999,1.0
