distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,278,289.0,300,578,1.038
1D,4,226,245.75,260,983,1.058
1D,8,131,150.75,162,1206,1.075
2D,2,284,284.0,284,568,1.0
2D,4,0,227.75,427,911,1.875
2D,8,0,132.38,249,1059,1.881
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,138,214.0,285,856,1.332
2D_cyclic,8,70,107.38,143,859,1.332
