num_procs,distribution,run,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,1D,0,1138_bus,1.4782e-05,2.38e-07,2596.0,0.0,5192.0,1.4544e-05
1,1D,0,Hook_1498,0.098273993,2.384e-06,31207734.0,0.0,62415468.0,0.09827160900000001
1,1D,0,cond-mat-2005,0.000882387,9.54e-07,175693.0,0.0,351386.0,0.000881433
1,1D,0,dixmaanl,0.000627279,7.15e-07,179999.0,0.0,359998.0,0.000626564
1,1D,0,flowmeter0,0.000121832,4.77e-07,38530.0,0.0,77060.0,0.00012135499999999999
1,1D,0,msdoor,0.031463385,1.907e-06,10328399.0,0.0,20656798.0,0.031461478
1,1D,0,tmt_sym,0.012168169,1.907e-06,2903837.0,0.0,5807674.0,0.012166261999999999
1,1D,1,1138_bus,1.3113e-05,2.38e-07,2596.0,0.0,5192.0,1.2875e-05
1,1D,1,Hook_1498,0.09824729,2.623e-06,31207734.0,0.0,62415468.0,0.09824466700000001
1,1D,1,cond-mat-2005,0.000873327,7.15e-07,175693.0,0.0,351386.0,0.000872612
1,1D,1,dixmaanl,0.000627518,4.77e-07,179999.0,0.0,359998.0,0.000627041
1,1D,1,flowmeter0,0.000125647,2.38e-07,38530.0,0.0,77060.0,0.000125409
1,1D,1,msdoor,0.031484842,2.146e-06,10328399.0,0.0,20656798.0,0.031482696
1,1D,1,tmt_sym,0.012160301,2.861e-06,2903837.0,0.0,5807674.0,0.01215744
1,1D,2,1138_bus,1.2398e-05,2.38e-07,2596.0,0.0,5192.0,1.216e-05
1,1D,2,Hook_1498,0.098275423,1.907e-06,31207734.0,0.0,62415468.0,0.098273516
1,1D,2,cond-mat-2005,0.000879765,7.15e-07,175693.0,0.0,351386.0,0.00087905
1,1D,2,dixmaanl,0.000621319,4.77e-07,179999.0,0.0,359998.0,0.0006208419999999999
1,1D,2,flowmeter0,0.000120878,2.38e-07,38530.0,0.0,77060.0,0.00012064000000000001
1,1D,2,msdoor,0.031469107,3.099e-06,10328399.0,0.0,20656798.0,0.031466008000000004
1,1D,2,tmt_sym,0.01207304,1.907e-06,2903837.0,0.0,5807674.0,0.012071133
1,1D,3,1138_bus,1.1921e-05,2.38e-07,2596.0,0.0,5192.0,1.1683e-05
1,1D,3,Hook_1498,0.098216295,2.146e-06,31207734.0,0.0,62415468.0,0.098214149
1,1D,3,cond-mat-2005,0.000876665,7.15e-07,175693.0,0.0,351386.0,0.00087595
1,1D,3,dixmaanl,0.000626564,4.77e-07,179999.0,0.0,359998.0,0.000626087
1,1D,3,flowmeter0,0.00012064,2.38e-07,38530.0,0.0,77060.0,0.000120402
1,1D,3,msdoor,0.031466722,2.623e-06,10328399.0,0.0,20656798.0,0.031464099
1,1D,3,tmt_sym,0.012080908,2.861e-06,2903837.0,0.0,5807674.0,0.012078047
1,1D,4,1138_bus,1.1921e-05,2.38e-07,2596.0,0.0,5192.0,1.1683e-05
1,1D,4,Hook_1498,0.098222017,2.146e-06,31207734.0,0.0,62415468.0,0.098219871
1,1D,4,cond-mat-2005,0.000879049,7.15e-07,175693.0,0.0,351386.0,0.000878334
1,1D,4,dixmaanl,0.000621796,7.15e-07,179999.0,0.0,359998.0,0.000621081
1,1D,4,flowmeter0,0.00012064,2.38e-07,38530.0,0.0,77060.0,0.000120402
1,1D,4,msdoor,0.031473637,3.099e-06,10328399.0,0.0,20656798.0,0.031470538
1,1D,4,tmt_sym,0.012018204,1.669e-06,2903837.0,0.0,5807674.0,0.012016535
1,1D,5,1138_bus,1.1683e-05,2.38e-07,2596.0,0.0,5192.0,1.1445e-05
1,1D,5,Hook_1498,0.098256588,2.623e-06,31207734.0,0.0,62415468.0,0.09825396500000001
1,1D,5,cond-mat-2005,0.000876188,7.15e-07,175693.0,0.0,351386.0,0.000875473
1,1D,5,dixmaanl,0.000626802,2.38e-07,179999.0,0.0,359998.0,0.000626564
1,1D,5,flowmeter0,0.00012064,2.38e-07,38530.0,0.0,77060.0,0.000120402
1,1D,5,msdoor,0.031462908,2.146e-06,10328399.0,0.0,20656798.0,0.031460761999999996
1,1D,5,tmt_sym,0.011938095,2.146e-06,2903837.0,0.0,5807674.0,0.011935949
1,1D,6,1138_bus,1.1683e-05,2.38e-07,2596.0,0.0,5192.0,1.1445e-05
1,1D,6,Hook_1498,0.098246574,2.623e-06,31207734.0,0.0,62415468.0,0.09824395100000001
1,1D,6,cond-mat-2005,0.000874996,4.77e-07,175693.0,0.0,351386.0,0.0008745189999999999
